Property PK	Property Name	Operator GL PK	Operator Account Code	Operator Account Name	Primary GL PK	Primary Account Code	Primary Account Name	Month	Actual
1833	Oaks at Greenview, The	11179	1659-90	Other - Misc	11179	1659-90	Other - Misc	2017-05-01	0.00
1833	Oaks at Greenview, The	11179	1659-90	Other - Misc	11179	1659-90	Other - Misc	2017-06-01	0.00
1833	Oaks at Greenview, The	11179	1659-90	Other - Misc	11179	1659-90	Other - Misc	2017-07-01	
1833	Oaks at Greenview, The	11180		Total Nonrec Capital Exp-Other	11180		Total Nonrec Capital Exp-Other	2017-05-01	0.00
1833	Oaks at Greenview, The	11180		Total Nonrec Capital Exp-Other	11180		Total Nonrec Capital Exp-Other	2017-06-01	0.00
1833	Oaks at Greenview, The	11180		Total Nonrec Capital Exp-Other	11180		Total Nonrec Capital Exp-Other	2017-07-01	
1833	Oaks at Greenview, The	11182		Total Capital Expense & Fixed Assets	11182		Total Capital Expense & Fixed Assets	2017-05-01	21676.15
1833	Oaks at Greenview, The	11182		Total Capital Expense & Fixed Assets	11182		Total Capital Expense & Fixed Assets	2017-06-01	21409.15
1833	Oaks at Greenview, The	11182		Total Capital Expense & Fixed Assets	11182		Total Capital Expense & Fixed Assets	2017-07-01	
1833	Oaks at Greenview, The	11230	1651-26	Pool Fence - Site	11230	1651-26	Pool Fence - Site	2017-05-01	0.00
1833	Oaks at Greenview, The	11230	1651-26	Pool Fence - Site	11230	1651-26	Pool Fence - Site	2017-06-01	0.00
1833	Oaks at Greenview, The	11230	1651-26	Pool Fence - Site	11230	1651-26	Pool Fence - Site	2017-07-01	
1833	Oaks at Greenview, The	11231	1651-31	Retaining Wall - Site	11231	1651-31	Retaining Wall - Site	2017-05-01	0.00
1833	Oaks at Greenview, The	11231	1651-31	Retaining Wall - Site	11231	1651-31	Retaining Wall - Site	2017-06-01	0.00
1833	Oaks at Greenview, The	11231	1651-31	Retaining Wall - Site	11231	1651-31	Retaining Wall - Site	2017-07-01	
1833	Oaks at Greenview, The	11232	1654-01	Foundations - Ext	11232	1654-01	Foundations - Ext	2017-05-01	0.00
1833	Oaks at Greenview, The	11232	1654-01	Foundations - Ext	11232	1654-01	Foundations - Ext	2017-06-01	0.00
1833	Oaks at Greenview, The	11232	1654-01	Foundations - Ext	11232	1654-01	Foundations - Ext	2017-07-01	
1833	Oaks at Greenview, The	11234	1654-05	Lt Wt Concrete- Ext	11234	1654-05	Lt Wt Concrete- Ext	2017-05-01	0.00
1833	Oaks at Greenview, The	11234	1654-05	Lt Wt Concrete- Ext	11234	1654-05	Lt Wt Concrete- Ext	2017-06-01	0.00
1833	Oaks at Greenview, The	11234	1654-05	Lt Wt Concrete- Ext	11234	1654-05	Lt Wt Concrete- Ext	2017-07-01	
1833	Oaks at Greenview, The	11235	1654-13	Attic Ventilation/Chimneys - Ext	11235	1654-13	Attic Ventilation/Chimneys - Ext	2017-05-01	0.00
1833	Oaks at Greenview, The	11235	1654-13	Attic Ventilation/Chimneys - Ext	11235	1654-13	Attic Ventilation/Chimneys - Ext	2017-06-01	0.00
1833	Oaks at Greenview, The	11235	1654-13	Attic Ventilation/Chimneys - Ext	11235	1654-13	Attic Ventilation/Chimneys - Ext	2017-07-01	
1833	Oaks at Greenview, The	11238	1656-10	Green Initiatives - Mech	11238	1656-10	Green Initiatives - Mech	2017-05-01	0.00
1833	Oaks at Greenview, The	11238	1656-10	Green Initiatives - Mech	11238	1656-10	Green Initiatives - Mech	2017-06-01	0.00
1833	Oaks at Greenview, The	11238	1656-10	Green Initiatives - Mech	11238	1656-10	Green Initiatives - Mech	2017-07-01	
1833	Oaks at Greenview, The	11239	1657-05	Carpet - Office	11239	1657-05	Carpet - Office	2017-05-01	0.00
1833	Oaks at Greenview, The	11239	1657-05	Carpet - Office	11239	1657-05	Carpet - Office	2017-06-01	0.00
1833	Oaks at Greenview, The	11239	1657-05	Carpet - Office	11239	1657-05	Carpet - Office	2017-07-01	
1833	Oaks at Greenview, The	11240	1657-12	Interior Upgrades - Clubroom	11240	1657-12	Interior Upgrades - Clubroom	2017-05-01	0.00
1833	Oaks at Greenview, The	11240	1657-12	Interior Upgrades - Clubroom	11240	1657-12	Interior Upgrades - Clubroom	2017-06-01	0.00
1833	Oaks at Greenview, The	11240	1657-12	Interior Upgrades - Clubroom	11240	1657-12	Interior Upgrades - Clubroom	2017-07-01	
1833	Oaks at Greenview, The	11323	1657-15	Carpet - Clubroom	11323	1657-15	Carpet - Clubroom	2017-05-01	0.00
1833	Oaks at Greenview, The	11323	1657-15	Carpet - Clubroom	11323	1657-15	Carpet - Clubroom	2017-06-01	0.00
